team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
India,West Indies,254,255,6,6,away,away,West Indies,4.0,wickets,Day,Coca-Cola Singapore Challenge,Ricardo Powell,West Indies,"Kallang Ground, Singapore",West Indies,field first,Singapore,Padang,Singapore,1999-09-08
West Indies,India,163,165,10,2,away,away,India,8.0,wickets,Day,West Indies tour of Canada,Sourav Ganguly,India,"Toronto Cricket, Skating and Curling Club",India,field first,Toronto,Toronto,Canada,1999-09-11
West Indies,India,190,120,6,10,away,away,West Indies,70.0,runs,Day,West Indies tour of Canada,Sherwin Campbell,West Indies,"Toronto Cricket, Skating and Curling Club",West Indies,bat first,Toronto,Toronto,Canada,1999-09-12
India,West Indies,225,137,7,10,away,away,India,88.0,runs,Day,West Indies tour of Canada,Rahul Dravid,India,"Toronto Cricket, Skating and Curling Club",West Indies,field first,Toronto,Toronto,Canada,1999-09-14
Pakistan,West Indies,230,215,6,9,away,away,Pakistan,15.0,runs,Day,Pakistan tour of Canada,Saeed Anwar,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,bat first,Toronto,Toronto,Canada,1999-09-16
Pakistan,West Indies,222,180,5,10,away,away,Pakistan,42.0,runs,Day,Pakistan tour of Canada,Mohammad Yousuf,Pakistan,"Toronto Cricket, Skating and Curling Club",Pakistan,bat first,Toronto,Toronto,Canada,1999-09-18
West Indies,Pakistan,161,162,10,3,away,away,Pakistan,7.0,wickets,Day,Pakistan tour of Canada,Abdul Razzaq,Pakistan,"Toronto Cricket, Skating and Curling Club",West Indies,bat first,Toronto,Toronto,Canada,1999-09-19
Kenya,Zimbabwe,199,200,8,7,home,away,Zimbabwe,3.0,wickets,Day,LG Cup,Murray Goodwin,Zimbabwe,"Gymkhana Club Ground, Nairobi",Zimbabwe,field first,Nairobi (Gym),Nairobi,Kenya,1999-09-25
South Africa,India,117,120,10,2,away,away,India,8.0,wickets,Day,LG Cup,Sunil Joshi,India,"Gymkhana Club Ground, Nairobi",South Africa,bat first,Nairobi (Gym),Nairobi,Kenya,1999-09-26
Zimbabwe,South Africa,216,217,10,1,away,away,South Africa,9.0,wickets,Day,LG Cup,Lance Klusener,South Africa,"Gymkhana Club Ground, Nairobi",South Africa,field first,Nairobi (Gym),Nairobi,Kenya,1999-09-28
India,Kenya,220,162,7,10,away,home,India,58.0,runs,Day,LG Cup,Vijay Bharadwaj,India,"Gymkhana Club Ground, Nairobi",Kenya,field first,Nairobi (Gym),Nairobi,Kenya,1999-09-29
